number of instances,LSVM,KNN,CART,NaiveBayes
11,72.31063017,46.76426904,72.27880331,82.41035434
513,85.03076597,90.66412052,93.32696796,82.68618714
1015,85.6673032,92.51007851,93.52853809,80.78718438
1517,84.87163166,92.2130278,94.17568428,81.67833652
2019,85.04137492,92.58434118,94.53638871,82.26182898
2521,84.8610227,93.98472311,94.52577976,82.13452154
3023,85.43390622,93.79376194,94.71674093,81.68894547
3525,85.41268831,94.21812009,94.57882453,82.23000212
4027,85.43390622,94.33481859,94.6318693,75.0689582
4529,85.46573308,93.95289624,94.84404838,73.93380013
5031,85.40207935,94.31360068,94.69552302,73.94440908
5533,85.40207935,94.01654997,94.87587524,75.344791
6035,85.27477191,94.38786336,94.79100361,75.36600891
6537,85.37025249,94.40908126,94.95013792,80.8296202
7039,85.34903459,94.09081265,94.89709315,80.81901125
7541,85.99618078,94.41969022,94.91831105,81.55102907
8043,86.02800764,94.64247825,94.93952896,81.4979843
8545,85.96435391,94.26055591,94.99257373,81.48737534
9047,85.59304053,94.68491407,94.99257373,81.4979843
9549,85.93252705,94.71674093,94.92892001,81.52981116
10051,85.93252705,94.81222151,94.99257373,81.54042011
10553,85.55060471,94.82283047,94.98196478,81.52981116
11055,85.49755994,94.84404838,94.96074687,81.51920221
11557,85.59304053,94.44090813,94.93952896,81.52981116
12059,85.55060471,94.46212603,94.95013792,81.51920221
12561,85.60364948,94.84404838,94.93952896,80.97814555
13063,85.56121366,94.85465733,94.91831105,80.91449183
13565,85.53999576,94.47273499,94.96074687,80.92510079
14067,85.58243157,94.92892001,95.0456185,80.89327392
14569,85.56121366,94.88648419,95.0456185,80.89327392
15071,85.58243157,94.99257373,95.07744536,80.88266497
15573,85.59304053,94.99257373,95.06683641,80.89327392
16075,85.59304053,94.61065139,95.0456185,80.89327392
16577,85.57182262,95.01379164,95.15170804,80.92510079
17079,85.91130914,95.02440059,95.20475281,80.92510079
17581,85.91130914,94.24994696,95.21536177,80.91449183
18083,85.85826438,94.65308721,95.20475281,80.90388288
18585,85.81582856,94.65308721,95.20475281,80.88266497
